Panel_ID,Brand,Model,Power_W,Efficiency_%,Warranty_Years,Price_USD,Degradation_%perYear
P089,Trina Solar,HJT,450.9,21.33,15,170.28,0.37
P090,Seraphim,PERC,462.8,21.42,20,262.87,0.44
P091,Astronergy,Bifacial,321.0,19.69,10,272.43,0.57
P092,Seraphim,PERC,544.8,21.87,15,248.1,0.37
P093,Longi Solar,Poly,400.5,18.55,20,262.38,0.58
P094,Jinko Solar,PERC,390.4,19.69,10,212.39,0.53
P095,Jinko Solar,Bifacial,518.5,18.69,10,223.7,0.43
P096,Risen Energy,PERC,334.2,20.06,25,150.68,0.46
P097,Astronergy,Bifacial,371.0,20.47,20,208.17,0.37
P098,Canadian Solar,HJT,477.8,17.97,10,251.66,0.55
P099,Canadian Solar,HJT,422.2,20.37,25,137.08,0.44
P100,Trina Solar,Mono,434.8,21.91,10,218.14,0.51
